0,Pergunta,Resposta1,Resposta2,Resposta3,RespostaCerta
1,Primeiro rei de Portugal?,Jose,Afonso Henriques,Olivia Palito,2
2,Primeira mulher a desenvolver o primeiro algoritmo de computador?,Ada Lovelace,Ana Teresa,Olivia Palito,1
3,Quantas casas decimais tem o pi?,infinitas,duas,centenas,1
4,Nacionalidade de Che Guevara?,Peruana,Argentina,Boliviana,2
5,Autor de “O príncipe”,Thomas Hobbes,Maquiavel,Maquiavel,2
6,Qual o maior animal terrestre?,Elefante Africano,Girafa,Dinossauro,1
7,Que líder mundial ficou conhecida como “Dama de ferro”?,Ana Oliveira,Margaret Thatcher,Hillary Clinton,2
8,Tipo sanguíneo de dador universal?,A,AB,O,3
9,Nomes dos três reis magos?,Gabriel Jose Antonio,Gaspar Nicolau  Natanael,Belchior Gaspar  Baltazar,3
10,Cromossomas que determinam o sexo masculino?,X,Y,Z,2
11,Oceano de Madagascar?,artico,indico,atlantico,2
12,Filantropo é…,Pessoa que pratica caridade,Pessoa que tem excesso de confiança,Pessoa egoista,1
13,Autor “eu tenho um sonho”,Mandela,Martin Luther King,Obama,2
14,Quem pintou o quadro Mona Lisa?,Salvador Dali,Leonardo Da Vinci,Van Gogh,2
15,Rei do Pop?,Quim Barreiros,Michael Jackson,Canario,2
16,Cor das cabines de Londres?,Vermelha,Verde,Azul,1
17,Maior país do mundo?,Espanha,Portugal,Russia,3
18,Ponto mais alto do mundo?,Everest,Penha,Sameiro,1
19,Maior rio do Brasil?,Minho,Amazonas,Lima,2
20,Quantas patas tem uma aranha?,10,4,8,3
